 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   3.417213499947759E-003
 Friction Mach number =   8.291730685127277E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   204.807471832453     
 Redelta  =   10215.9741742214     
 Retheta  =   873.357807955901     
 Redelta2 =   556.942311262552     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.267926153980111     
 theta/delta99 =   8.548942989301017E-002
 H             =    3.13402667809833     
 Hinc          =    1.54444660343047     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+
      0.4446253     91.0625760     15.7008822     16.6237822      1.2319311      0.8176251      0.9814597     -0.4928579      1.1983099      2.0340093      5.4866539      0.1176296      3.6284368     -0.4548672      0.2460566      3.0929534      2.6738311      0.1050635      0.0967139      0.0933986
      0.4554193     93.2732739     15.7739145     16.7113829      1.2193517      0.8105902      0.9719484     -0.4840384      1.2006484      2.0186405      5.4485530      0.1177435      3.6757756     -0.4647701      0.2570458      3.1069031      2.6774910      0.1035585      0.0952792      0.0918851
      0.4664559     95.5336462     15.8476355     16.7999830      1.2065063      0.8033089      0.9622114     -0.4749921      1.2030123      2.0030569      5.4097138      0.1178472      3.7252162     -0.4752735      0.2686784      3.1221593      2.6807196      0.1020042      0.0938340      0.0903112
      0.4777409     97.8448967     15.9221198     16.8896784      1.1932555      0.7957875      0.9521205     -0.4657087      1.2054229      1.9873920      5.3701638      0.1179462      3.7802807     -0.4863928      0.2805373      3.1366444      2.6833169      0.1004390      0.0923758      0.0888081
      0.4892803    100.2082562     15.9975100     16.9806472      1.1795443      0.7880519      0.9416338     -0.4561498      1.2078579      1.9714694      5.3296496      0.1180282      3.8445514     -0.4983052      0.2926761      3.1500916      2.6855763      0.0988469      0.0908990      0.0874428
      0.5010803    102.6249834     16.0739874     17.0731159      1.1653877      0.7800968      0.9307391     -0.4462649      1.2103407      1.9554069      5.2880743      0.1180945      3.9167336     -0.5110706      0.3053365      3.1631558      2.6877539      0.0971861      0.0893997      0.0861836
      0.5131471    105.0963654     16.1516244     17.1671806      1.1508838      0.7718896      0.9192502     -0.4360366      1.2128506      1.9389539      5.2454021      0.1181368      3.9879051     -0.5249308      0.3189714      3.1777582      2.6908502      0.0955308      0.0878789      0.0848829
      0.5254873    107.6237183     16.2303063     17.2627108      1.1361130      0.7633728      0.9070297     -0.4254478      1.2154118      1.9221091      5.2017989      0.1181604      4.0505206     -0.5401693      0.3340372      3.1947174      2.6957773      0.0939380      0.0863367      0.0834569
      0.5381073    110.2083882     16.3098454     17.3594865      1.1211011      0.7544859      0.8941828     -0.4144454      1.2180019      1.9044844      5.1574276      0.1181653      4.1040235     -0.5569237      0.3504614      3.2133677      2.7025965      0.0923207      0.0847670      0.0819605
      0.5510138    112.8517516     16.3900666     17.4573020      1.1058665      0.7451721      0.8808705     -0.4029912      1.2206425      1.8859296      5.1122489      0.1181528      4.1477416     -0.5751410      0.3682394      3.2336541      2.7105160      0.0905851      0.0831610      0.0803815
